省市,地市,区县,SITENAME,macroEnbId,站址,站型,厂家,设备类型,Lon,Lat,传输带宽,传输IP配置,Cell,ECI,PCI,TAC,EARFCN,Azimuth,ANT_BEAM_WIDTH,预制电下倾,机械下倾角,挂高,PA,PB,RsPower,合路方式,单双路,原有室分系统,CellClass,通过时间,接入网优平台信息是否准确,录入资管平台信息是否准确,MRR是否可以开启,站间距,RRU数,批次,报告顺序
北京,北京市,朝阳,73126,73126,北京市,宏站,华为,,116.446111,39.902501,,,18720269,18720269,53,4284,38355,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,73492,73492,北京市,宏站,华为,,116.535833,39.920001,,,18814005,18814005,394,4257,1400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,73885,73885,北京市,宏站,华为,,116.456666,39.876944,,,18914613,18914613,300,4284,1400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,73924,73924,北京市,宏站,华为,,116.399757,39.913227,,,18924557,18924557,239,4213,38400,220,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,91401,91401,北京市,宏站,中兴,,116.338521,39.953809,,,23398665,23398665,53,4140,40936,260,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,93032,93032,北京市,宏站,华为,,116.457781,39.837614,,,23816203,23816203,31,4293,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,朝阳,93274,93274,北京市,宏站,华为,,116.3652769,40.005001,,,23878156,23878156,84,4417,38400,200,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,大兴,93522,93522,北京市,宏站,华为,,116.32312,39.74488,,,23941641,23941641,143,4146,40936,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,98730,98730,北京市,宏站,华为,,116.502092,39.918273,,,25274892,25274892,67,4277,38400,200,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,98766,98766,北京市,宏站,华为,,116.417275,39.992395,,,25284109,25284109,398,4234,38400,350,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,东城,87620,87620,北京市,宏站,华为,,116.428499,39.909733,,,22430732,22430732,209,4282,38400,230,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,石景山,88063,88063,北京市,宏站,中兴,,116.231343,39.905721,,,22544136,22544136,499,4316,40936,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,房山,88128,88128,北京市,宏站,中兴,,116.170491,39.711328,,,22560779,22560779,270,4199,38400,45,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,石景山,88761,88761,北京市,宏站,中兴,,116.231531,39.903371,,,22722828,22722828,365,4316,38400,225,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,朝阳,89564,89564,北京市,宏站,华为,,116.491557,39.877529,,,22928395,22928395,55,4438,38400,70,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,朝阳,89754,89754,北京市,宏站,华为,,116.528333,39.902777,,,22977035,22977035,128,4433,38355,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,丰台,90028,90028,北京市,宏站,中兴,,116.350951,39.809595,,,23047180,23047180,397,4463,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,90047,90047,北京市,宏站,中兴,,116.314819,39.882313,,,23052044,23052044,442,4132,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,90087,90087,北京市,宏站,中兴,,116.340151,39.806711,,,23062284,23062284,212,4463,38400,190,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,西城,90309,90309,北京市,宏站,中兴,,116.324548,39.879753,,,23119115,23119115,408,4132,38400,80,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,大兴,90439,90439,北京市,宏站,华为,,116.498862,39.744361,,,23152391,23152391,298,4241,40936,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,丰台,90905,90905,北京市,宏站,中兴,,116.313034,39.854649,,,23271691,23271691,405,4572,38400,50,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,石景山,91122,91122,北京市,宏站,中兴,,116.220611,39.895491,,,23327244,23327244,501,4461,38355,110,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,91125,91125,北京市,宏站,中兴,,116.295541,39.995731,,,23328007,23328007,132,4544,40936,75,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,海淀,78782,78782,北京市,宏站,中兴,,116.214731,39.972621,,,20168204,20168204,276,4121,38400,120,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,丰台,79018,79018,北京市,宏站,中兴,,116.229683,39.858572,,,20228619,20228619,387,4461,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,丰台,79083,79083,北京市,宏站,中兴,,116.392095,39.801464,,,20245260,20245260,493,4463,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,79341,79341,北京市,宏站,中兴,,116.286393,39.809334,,,20311308,20311308,365,4461,38400,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,79731,79731,北京市,宏站,中兴,,116.231262,39.874535,,,20411148,20411148,448,4461,38400,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,丰台,79774,79774,北京市,宏站,中兴,,116.311551,39.834601,,,20422156,20422156,283,4585,38400,140,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,通州,80162,80162,北京市,宏站,华为,,116.645841,39.873891,,,20521483,20521483,201,4259,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,东城,80612,80612,北京市,宏站,华为,,116.418333,39.879722,,,20636684,20636684,136,4287,38355,180,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,82862,82862,北京市,室分,中兴,,116.349196,39.990888,,,21212684,21212684,220,4318,39148,0,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,朝阳,86170,86170,北京市,宏站,华为,,116.452538,39.944237,,,22059531,22059531,114,4335,38400,110,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,东城,73044,73044,北京市,宏站,华为,,116.428611,39.892501,,,18699275,18699275,172,4284,38400,40,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,平谷,73446,73446,北京市,宏站,华为,,117.106012,40.131969,,,18802197,18802197,251,4353,37900,155,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,朝阳,73554,73554,北京市,宏站,华为,,116.514477,39.843632,,,18829835,18829835,34,4388,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,朝阳,73555,73555,北京市,宏站,华为,,116.534791,39.869001,,,18830091,18830091,273,4394,38400,110,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,东城,73639,73639,北京市,宏站,华为,,116.395001,39.889166,,,18851596,18851596,295,4286,38400,225,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,通州,74217,74217,北京市,宏站,华为,,116.730306,39.876028,,,18999564,18999564,244,4280,38400,150,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,朝阳,74475,74475,北京市,宏站,华为,,116.527431,39.900891,,,19065612,19065612,356,4433,38355,300,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,东城,74547,74547,北京市,宏站,华为,,116.409721,39.954445,,,19084040,19084040,355,4346,40936,140,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,海淀,74905,74905,北京市,宏站,中兴,,116.358671,39.999741,,,19175691,19175691,289,4417,38400,60,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
北京,北京市,顺义,75481,75481,北京市,宏站,华为,,116.645001,40.135555,,,19323148,19323148,364,4593,38400,130,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,6
北京,北京市,昌平,78131,78131,北京市,宏站,中兴,,116.237971,40.223711,,,20001548,20001548,16,4166,38400,210,65,6,14,41,-3,1,12,新建,单路,,,,,,,,1,1,5
